10
20130829
cs460  a123b001  20120828  100.00
cs460  a123b002  20120829  100.00
cs460  a123b003  20120830   50.00
cs460  a123b004  20120831   70.00
cs460  a123b005  20120901   60.00
cs460  a123b006  20120902   50.00
cs460  a123b007  20120903   50.00
cs460  a123b008  20120904   80.00
cs460  a123b009  20120905   90.00
cs460  a123b010  20120906  100.00
cs460  a123b011  20120828  100.00
cs460  a123b012  20120829   90.00
cs460  a123b013  20120830   80.00
cs460  a123b014  20120831   70.00
cs460  a123b015  20120901   60.00
cs460  a123b016  20120902   50.00
cs460  a123b017  20120903   50.00
cs460  a123b018  20120904   80.00
cs460  a123b019  20120905   90.00
cs460  a123b020  20120906  100.00
cs460  a123b021  20120902   50.00
cs460  a123b022  20120903   50.00
cs460  a123b023  20120904   80.00
cs460  a123b024  20120905   90.00
cs460  a123b025  20120906  100.00
